Date,Temperature
1/1/2016,13.9
2/1/2016,13.6
3/1/2016,14.8
4/1/2016,17.5
5/1/2016,19.7
6/1/2016,21.9
7/1/2016,21.6
8/1/2016,19.7
9/1/2016,19.4
10/1/2016,19.9
11/1/2016,18.6
12/1/2016,20.5
13-01-2016,20.9
14-01-2016,18.8
15-01-2016,19.1
16-01-2016,21
17-01-2016,22.7
18-01-2016,15.8
19-01-2016,15.9
20-01-2016,16.8
21-01-2016,18.3
22-01-2016,18.3
23-01-2016,14.6
24-01-2016,14.3
25-01-2016,11.9
26-01-2016,9.8
27-01-2016,11.8
28-01-2016,12.3
29-01-2016,14
30-01-2016,16.4
31-01-2016,18
1/2/2016,17.8
2/2/2016,18.9
3/2/2016,20.9
4/2/2016,24.7
5/2/2016,24.9
6/2/2016,17.7
7/2/2016,14.4
8/2/2016,13.9
9/2/2016,19.1
10/2/2016,18.1
11/2/2016,18.2
12/2/2016,19.8
13-02-2016,21.7
14-02-2016,22.4
15-02-2016,28.1
16-02-2016,28.8
17-02-2016,28.8
18-02-2016,30.5
19-02-2016,28.8
20-02-2016,21.1
21-02-2016,19.2
22-02-2016,16.7
23-02-2016,19
24-02-2016,20.6
25-02-2016,24.3
26-02-2016,23
27-02-2016,20.9
28-02-2016,21.8
29-02-2016,28.8
1/3/2016,30.4
2/3/2016,30.1
3/3/2016,22.9
4/3/2016,21.4
5/3/2016,24.2
6/3/2016,20.7
7/3/2016,24.6
8/3/2016,23.1
9/3/2016,31.3
10/3/2016,22.8
11/3/2016,22.2
12/3/2016,23.2
13-03-2016,29.6
14-03-2016,24.1
15-03-2016,20.2
16-03-2016,20.3
17-03-2016,19.2
18-03-2016,19.9
19-03-2016,27.5
20-03-2016,20.6
21-03-2016,20.1
22-03-2016,20.7
23-03-2016,29.2
24-03-2016,32.1
25-03-2016,26.5
26-03-2016,26
27-03-2016,20.7
28-03-2016,19.3
29-03-2016,20
30-03-2016,20.1
31-03-2016,21.5
1/4/2016,27.7
2/4/2016,28.9
3/4/2016,26.8
4/4/2016,24.2
5/4/2016,28.8
6/4/2016,24.5
7/4/2016,25.2
8/4/2016,32.8
9/4/2016,36
10/4/2016,30.3
11/4/2016,24
12/4/2016,21.4
13-04-2016,21.2
14-04-2016,23.3
15-04-2016,25
16-04-2016,28.2
17-04-2016,28.5
